dev,cosine_similarity
mlep,0.4
matthiasgeiger,0.29
Siedlerchr,0.23
stefan-kolb,0.22
calixtus,0.21
steffinstanly,0.2
koppor,0.2
tobiasdiez,0.2
sfo,0.19
burrbull,0.17
