dev,cosine_similarity
calixtus,0.28
burrbull,0.24
steffinstanly,0.22
Siedlerchr,0.2
matthiasgeiger,0.19
davidemdot,0.19
stefan-kolb,0.16
MisterM13,0.16
carlg0ransson,0.15
koppor,0.15
