dev,cosine_similarity
calixtus,0.15
b0n541,0.08
Siedlerchr,0.05
davidemdot,0.05
koppor,0.03
matthiasgeiger,0.03
tobiasdiez,0.03
stefan-kolb,0.02
PointOfNilReturn,0
dependabot[bot],0
