dev,cosine_similarity
cs464osu,0.31
AyushBherwani1998,0.31
kydojo,0.31
mlep,0.18
stefan-kolb,0.1
koppor,0.09
matthiasgeiger,0.08
tobiasdiez,0.08
Siedlerchr,0.06
davidemdot,0.06
