dev,cosine_similarity
Siedlerchr,0.32
tobiasdiez,0.32
koppor,0.26
stefan-kolb,0.24
matthiasgeiger,0.24
davidemdot,0.24
JoHaHu,0.14
b0n541,0.14
calixtus,0.13
MisterM13,0.13
