dev,cosine_similarity
cs464osu,1.08
AyushBherwani1998,1.08
kydojo,1.08
rodps,0.15
Siedlerchr,0.04
stefan-kolb,0.04
koppor,0.04
matthiasgeiger,0.03
tobiasdiez,0.03
davidemdot,0.03
