dev,cosine_similarity
Ka0o0,0.14
b0n541,0.09
Siedlerchr,0.05
matthiasgeiger,0.05
stefan-kolb,0.04
koppor,0.04
tobiasdiez,0.04
davidemdot,0.02
PointOfNilReturn,0
dependabot[bot],0
