dev,cosine_similarity
mlep,0.2
calixtus,0.06
matthiasgeiger,0.05
Siedlerchr,0.04
stefan-kolb,0.04
koppor,0.04
tobiasdiez,0.04
davidemdot,0.04
PointOfNilReturn,0
dependabot[bot],0
