rtomayko;21;89;2211;111;0.02702702702702703
wfarr;2231;1;1.0
kdaigle;2;2147;4;0.75
rsanheim;8;1881;9;0.2222222222222222
jnunemaker;238;1065;240;0.0125
greatuserongithub;1303;1;1.0
ammeep;1120;1;1.0
zerowidth;11;2;5;7;247;3;553;289;831;0.012033694344163659
jatoben;8;1000;9;0.2222222222222222
dbussink;84;365;231;3;2;217;69;906;0.011037527593818985
lerebear;182;1;1.0
