user_id;2023-08-20;2023-08-21;2023-08-22;2023-08-23;2023-08-24;2023-08-25;2023-08-26;2023-08-27;2023-08-28;2023-08-29;2023-08-30;2023-08-31;2023-09-01;2023-09-02;2023-09-03;2023-09-04;2023-09-05
ghost;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;2;0
mai-space;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Siedlerchr;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
