tobiasdiez;54;98;3;44;47;41;2;2;3;15;3;2;64;11;96;75;223;38;2;17;2;6;2;141;7;19;2;22;43;4;269;216;10;5;13;2;7;2;793;24;297;1060;2739;0.019715224534501644
RKBK;404;958;405;0.0049382716049382715
zhaohualu;1047;1;1.0
fpguy;468;97;469;0.0042643923240938165
sakshamtaneja21;94;1;1.0
koppor;20;68;22;0.13636363636363635
dependabot-preview[bot];8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;14;28;21;14;167;255;0.12156862745098039
kautuk98;87;1;1.0
LyzardKing;18;10;8;2;9;1090;1040;1138;0.006151142355008787
Siedlerchr;79;1;1.0
dependabot[bot];5;96;12;6;11;9;4;2;7;7;7;7;4;10;7;7;7;7;7;7;7;7;7;7;14;4;3;7;7;7;6;13;5;9;7;14;7;6;14;2;4;7;7;7;7;6;6;7;7;7;7;7;7;7;21;7;7;7;7;7;7;7;14;7;7;7;14;7;7;7;7;7;21;7;4;7;7;7;7;7;7;7;7;7;14;7;14;7;7;7;7;7;7;14;7;7;14;28;7;7;14;7;14;7;7;7;7;7;7;7;7;7;7;7;7;7;14;7;14;14;7;7;14;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;21;7;7;7;7;1311;1258;0.12162162162162163
jakkarth;814;2;1.0
Haini;134;1;1.0
systemoperator;22;1;1.0
joelostblom;13;1;1.0
arshadkazmi42;81;1;1.0
srivastavaayu;85;1;1.0
sidhyatikku;89;1;1.0
sumitkharche;95;1;1.0
Deepak2607;97;1;1.0
