Bigboybad;4;56;68;38;36;283;2136;488;0.018442622950819672
AliSoftware;26;10;3;9;5;2553;59;0.1864406779661017
jspahrsummers;64;97;131;108;39;191;36;1896;667;0.01199400299850075
joshaber;4;4;71;18;392;77;1932;567;0.012345679012345678
boidanny;35;2455;36;0.05555555555555555
joshvera;2162;1;1.0
robrix;13;2123;14;0.14285714285714285
mdiep;2009;1;1.0
