dev,cosine_similarity
steffinstanly,0.35
MisterM13,0.25
ms111ds,0.2
illes,0.2
sfo,0.19
martinacat,0.19
dimmonn,0.17
taerim25,0.17
Julien29121998,0.17
ageofadz,0.13
