dev,cosine_similarity
steffinstanly,0.3
Ka0o0,0.29
ageofadz,0.25
MisterM13,0.21
P4trice,0.21
illes,0.17
sfo,0.16
ms111ds,0.16
martinacat,0.16
dimmonn,0.14
