dev,cosine_similarity
steffinstanly,0.39
MisterM13,0.28
carlg0ransson,0.27
dawidowoc,0.22
Ka0o0,0.22
ms111ds,0.22
illes,0.22
mmihuu,0.22
sfo,0.21
martinacat,0.21
