id;date;author
1831523233;2023-08-01 15:23:25;dependabot[bot]
1831516347;2023-08-01 15:20:45;dependabot[bot]
1831515318;2023-08-01 15:20:21;dependabot[bot]
1831514051;2023-08-01 15:19:52;dependabot[bot]
1831512584;2023-08-01 15:19:03;dependabot[bot]
1831511972;2023-08-01 15:18:45;dependabot[bot]
1831511345;2023-08-01 15:18:27;dependabot[bot]
1831509704;2023-08-01 15:17:41;dependabot[bot]
1831504530;2023-08-01 15:15:23;dependabot[bot]
1831502437;2023-08-01 15:14:27;dependabot[bot]
1831499830;2023-08-01 15:13:25;dependabot[bot]
1784025915;2023-07-01 15:40:06;dependabot[bot]
1784025613;2023-07-01 15:39:34;dependabot[bot]
1784025191;2023-07-01 15:38:52;dependabot[bot]
1784025073;2023-07-01 15:38:39;dependabot[bot]
1784024965;2023-07-01 15:38:26;dependabot[bot]
1784024283;2023-07-01 15:37:32;dependabot[bot]
1784023994;2023-07-01 15:37:07;dependabot[bot]
1784023588;2023-07-01 15:36:32;dependabot[bot]
1784022867;2023-07-01 15:35:22;dependabot[bot]
1784022354;2023-07-01 15:34:57;dependabot[bot]
1784021343;2023-07-01 15:33:44;dependabot[bot]
1784021248;2023-07-01 15:33:34;dependabot[bot]
1784021104;2023-07-01 15:33:23;dependabot[bot]
1784020576;2023-07-01 15:32:49;dependabot[bot]
1784020379;2023-07-01 15:32:34;dependabot[bot]
1784019896;2023-07-01 15:32:12;dependabot[bot]
1736640501;2023-06-01 16:04:09;dependabot[bot]
1736639237;2023-06-01 16:03:31;dependabot[bot]
1736638451;2023-06-01 16:03:08;dependabot[bot]
1736638024;2023-06-01 16:02:56;dependabot[bot]
1736637153;2023-06-01 16:02:32;dependabot[bot]
1736636630;2023-06-01 16:02:19;dependabot[bot]
1736635789;2023-06-01 16:01:56;dependabot[bot]
1736633585;2023-06-01 16:01:01;dependabot[bot]
1736632608;2023-06-01 16:00:37;dependabot[bot]
1736631995;2023-06-01 16:00:25;dependabot[bot]
1736631165;2023-06-01 16:00:09;dependabot[bot]
1736630684;2023-06-01 15:59:59;dependabot[bot]
1736630055;2023-06-01 15:59:46;dependabot[bot]
1736628574;2023-06-01 15:59:14;dependabot[bot]
1736627778;2023-06-01 15:58:56;dependabot[bot]
1736627278;2023-06-01 15:58:46;dependabot[bot]
1736626671;2023-06-01 15:58:32;dependabot[bot]
1736626145;2023-06-01 15:58:22;dependabot[bot]
1736623248;2023-06-01 15:57:29;dependabot[bot]
1701617560;2023-05-09 08:38:57;tobiasdiez
