technoweenie;6;2;159;13;178;61;587;2;127;43;5;82;1969;1268;0.011829652996845425
eric;3063;1;1.0
msaffitz;3054;1;1.0
defunkt;287;14;2651;302;0.009933774834437087
ndbroadbent;2854;1;1.0
brianmario;2816;1;1.0
chris123457;402;2263;403;0.004962779156327543
vmg;2227;2;1.0
BrianDurham;2130;1;1.0
anaulin;2110;1;1.0
timhaines;2086;1;1.0
bkeepers;2063;1;1.0
rothsa;2059;1;1.0
danielchatfield;1981;1;1.0
bf4;1481;1;1.0
tenderlove;70;1112;161;1183;0.00253592561284869
summera;1839;1;1.0
omgitsads;1205;1;1.0
olleolleolle;1152;1;1.0
derekprior;356;1;1.0
mattyoho;75;280;76;0.02631578947368421
